ACCIDENT_NO,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN
T20120000615,4,3,50,5,1,1,1,0
T20120013279,1,2,100,2,0,1,1,0
T20120002286,1,3,60,2,0,1,1,1
T20120008083,4,3,60,1,1,1,0,0
T20120000484,5,3,75,2,0,1,1,0
T20120000492,2,3,50,5,0,1,1,0
T20120000493,1,3,60,5,0,1,1,0
T20120000498,1,3,100,5,0,1,1,1
T20120000499,1,3,40,4,0,1,1,1
T20120000537,1,3,50,5,6,1,1,0
T20120000579,1,3,50,1,2,1,1,0
T20120000480,3,3,50,2,0,1,1,1
T20120027417,1,3,80,1,3,1,1,0
T20120000485,3,2,60,1,0,1,1,0
T20120000486,3,3,60,5,1,1,1,0
T20120000533,1,3,60,1,1,1,1,0
T20120000487,2,3,60,1,1,1,0,0
T20120000502,1,2,70,5,0,1,1,1
T20120000543,5,3,100,5,0,1,0,0
T20120000505,1,3,100,5,1,1,1,0
T20120000621,2,2,100,5,0,1,0,0
T20120000620,3,3,50,2,3,1,1,1
T20120000617,1,3,50,2,2,1,1,1
T20120000616,1,2,80,2,1,1,1,1
T20120000610,1,1,60,1,0,1,1,1
T20120000608,1,3,60,2,3,1,1,0
T20120000603,2,3,50,2,3,1,1,0
T20120002974,1,3,70,1,1,1,1,0
T20120000905,1,3,60,2,1,1,1,0
T20120001132,1,3,100,5,0,1,1,0
T20120000601,1,3,60,1,1,1,1,0
T20120000598,1,3,50,5,1,1,1,0
T20120000595,1,2,50,1,1,1,1,1
T20120000593,1,3,50,5,1,1,1,0
T20120000581,1,3,50,2,1,1,1,0
T20120000578,1,3,50,5,1,1,1,0
T20120000574,1,3,50,5,0,1,1,0
T20120000568,1,2,50,5,2,1,1,1
T20120000565,1,3,50,5,0,1,1,0
T20120000554,1,3,100,5,1,1,1,1
T20120000545,5,2,100,5,1,1,1,1
T20120000544,3,2,60,1,1,1,1,0
T20120000557,1,2,60,5,0,1,1,1
T20120002646,1,3,60,1,1,1,0,0
T20120000675,0,3,100,5,0,1,1,1
T20120001484,4,2,50,5,1,1,1,1
T20120000728,1,3,60,2,1,1,1,1
T20120000676,1,2,70,2,3,1,1,1
T20120008211,1,3,60,4,1,1,1,1
T20120000686,1,3,100,5,0,1,0,0
T20120000632,1,2,60,5,0,1,1,1
T20120004433,3,2,80,1,1,1,1,1
T20120000674,1,2,70,2,1,1,1,0
T20120000673,1,3,60,2,3,1,1,1
T20120000672,1,3,110,5,1,1,1,0
T20120000665,1,2,70,1,0,1,1,0
T20120000664,1,3,60,2,0,1,1,0
T20120000623,3,3,60,4,2,1,1,0
T20120000659,1,3,60,5,1,1,1,1
T20120000655,1,2,60,2,2,1,1,1
T20120014752,1,3,50,1,1,1,1,1
T20120000648,1,3,60,2,1,1,1,1
T20120000646,1,2,50,1,1,1,1,1
T20120000678,1,3,60,2,3,1,1,1
T20120000641,1,3,60,1,1,1,1,0
T20120000638,1,2,100,5,1,1,1,0
T20120000631,3,1,80,5,2,1,1,1
T20120000630,3,2,60,5,0,1,0,0
T20120001512,1,3,60,1,0,1,1,1
T20120000761,1,2,100,5,1,1,1,0
T20120001455,1,3,80,5,0,1,1,1
T20120000874,1,3,60,5,1,1,1,1
T20120000706,3,2,50,5,0,1,1,0
T20120000732,1,3,60,2,2,1,0,0
T20120000754,1,3,60,5,0,1,1,1
T20120000736,1,2,80,1,1,1,1,1
T20120000739,1,2,60,5,0,1,1,1
T20120000740,1,3,80,1,1,1,1,0
