ACCIDENT_NO,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN,TAKEN_HOSPITAL,MEDIAN_AGE_GROUP,DAY_OF_WEEK,NO_OF_VEHICLES,NO_PERSONS,AGG_LIGH_SURF_ATMOS_COND,VEHICLE_YEAR_MANUF,VEHICLE_FUEL_TYPE,VEHICLES_TARE_WEIGHT,AGG_ROAD_SURFACE_TYPE,CAUGHT_FIRE,HIGHEST_LEVEL_OF_DAMAGE
T20120006923,OTHER,100,5,1,1,2,0,1.0,40-64,2,1,2,1.33,2000,P,1515.0,1,2,1
T20120006925,OTHER,60,5,2,1,2,0,0.0,65+,5,3,3,1.33,2006,P,1331.0,1,2,1
T20120006928,SERIOUS,70,5,1,1,2,1,1.0,26-39,5,1,2,1.67,2004,P,1190.0,1,2,2
T20120006930,OTHER,60,1,1,1,2,0,1.0,40-64,4,2,2,0.33,1993,D,1706.0,1,2,1
T20120006931,OTHER,50,1,2,1,2,1,1.0,17-25,5,2,3,1.0,1998,P,1237.0,1,2,2
T20120006934,OTHER,60,2,2,1,2,0,1.0,17-25,4,2,3,1.0,1995,P,1087.0,1,2,2
T20120006939,SERIOUS,50,5,3,1,2,1,1.0,17-25,5,2,4,1.0,2009,D,1398.0,1,2,0
T20120006941,OTHER,100,5,2,1,2,1,1.0,26-39,5,3,3,1.0,1998,P,1468.0,1,2,1
T20120006942,OTHER,60,5,1,1,2,1,0.0,26-39,4,2,2,1.0,2001,P,1275.0,1,2,2
T20120006944,OTHER,40,5,1,1,2,1,0.0,40-64,5,2,2,1.33,1998,D,1165.0,1,2,1
T20120006945,OTHER,60,2,0,1,2,0,1.0,40-64,5,2,2,1.33,1990,P,1044.0,1,2,3
T20120006949,OTHER,50,2,1,1,2,1,1.0,40-64,5,1,3,1.0,2006,P,1500.0,1,2,5
T20120006953,SERIOUS,100,5,0,1,1,1,1.0,17-25,5,1,1,1.0,2011,P,1322.0,1,2,1
T20120006954,OTHER,60,5,1,1,2,0,1.0,40-64,5,2,2,0.67,2000,D,1736.0,1,2,1
T20120006955,OTHER,60,2,1,1,2,1,1.0,40-64,5,2,2,1.33,2002,G,1459.0,1,2,4
T20120006958,OTHER,80,2,1,1,2,1,0.0,17-25,5,1,2,1.33,1993,P,1150.0,1,2,3
T20120006959,SERIOUS,60,2,1,1,2,1,1.0,65+,5,2,2,1.33,1998,P,1822.0,1,2,0
T20120006960,OTHER,50,2,0,1,2,1,1.0,40-64,5,1,1,2.67,2008,P,1225.0,1,2,1
T20120006962,OTHER,40,5,1,1,1,1,0.0,65+,5,1,2,1.0,1998,P,1350.0,1,2,0
T20120006963,SERIOUS,60,5,0,1,2,0,0.0,17-25,4,1,1,1.33,1999,M,1438.0,1,2,5
T20120006969,SERIOUS,70,5,0,1,1,1,0.0,65+,5,1,1,1.67,2006,P,1100.0,1,2,3
T20120006970,OTHER,80,1,1,1,1,1,0.0,Under 16,5,2,2,1.33,1995,P,1072.0,1,2,0
T20120006982,OTHER,60,1,1,1,2,0,0.0,26-39,6,2,2,1.33,2010,D,1767.0,1,2,3
T20120006984,OTHER,50,5,0,1,2,0,1.0,40-64,2,1,1,1.0,2011,P,1235.0,1,2,3
T20120006986,SERIOUS,100,2,0,1,1,0,0.0,Under 16,6,2,1,1.0,2006,D,1741.0,1,2,4
T20120006987,SERIOUS,70,2,0,1,2,1,1.0,40-64,3,2,2,1.67,1995,P,1375.0,1,2,2
T20120006988,OTHER,40,2,1,1,2,0,0.0,40-64,6,1,2,1.0,2009,P,1390.0,1,2,1
T20120006989,OTHER,60,5,1,1,2,0,0.0,17-25,4,2,2,1.0,1996,P,1177.0,1,2,1
T20120006992,SERIOUS,100,5,2,1,2,0,1.0,65+,6,1,3,2.33,2008,D,2590.0,3,2,0
T20120006993,OTHER,80,1,1,1,2,0,1.0,17-25,5,2,2,1.33,2004,G,1820.0,1,2,1
T20120006997,OTHER,50,5,2,1,1,1,0.0,17-25,6,2,3,1.0,2001,G,1289.0,1,2,1
T20120006999,SERIOUS,80,2,1,1,1,1,1.0,26-39,6,2,2,1.33,1998,P,1125.0,1,2,3
T20120007000,OTHER,60,1,0,1,2,1,0.0,26-39,6,2,2,1.0,1994,M,1236.0,1,2,3
T20120007002,OTHER,70,2,2,1,2,0,0.0,65+,6,3,3,1.0,2001,P,1366.0,1,2,1
T20120007005,OTHER,60,1,1,1,2,0,1.0,40-64,4,2,2,1.33,2005,P,1907.0,1,2,1
